Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Bangladesh,South-East Asia,2049850,1245,122,,122,29494,18,1,,1
Guadeloupe,,203235,50793,,,,1021,255,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Kenya,Africa,344101,640,,,,5689,11,,,
Seychelles,Africa,51686,52555,2,2,2,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Saint Lucia,Americas,30252,16475,,,,410,223,,,
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
United Kingdom of Great Britain and Northern Ireland,Europe,24920037,36709,1410,2,1410,232112,342,,,
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Jamaica,Americas,156812,5296,1,,1,3600,122,,,
Micronesia (Federated States of),Western Pacific,26547,23080,,,,65,57,,,
Holy See,,26,3214,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
Bulgaria,Europe,1329225,19121,21,,21,38700,557,,,
Croatia,Europe,1316878,32450,34,1,34,18752,462,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,,,,0,,,,
Colombia,Americas,6385025,12548,151,,151,142727,281,,,
Mauritania,Africa,63848,1373,,,,997,21,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Albania,Europe,334863,11636,,,,3605,125,,,
Eritrea,Africa,10189,287,,,,103,3,,,
Argentina,Americas,10131173,22416,140,,140,130853,290,,,
Azerbaijan,Europe,835327,8239,,,,10353,102,,,
Suriname,Americas,82496,14063,,,,1405,240,,,
Mayotte,,42027,15405,,,,187,69,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
